# PID Gains
# Kp = 0.195300
# Ki = 0.001000
# Kd = 0.137200
# Deadzone = 13.000
# -------------------------------------
time,x,y,xy_magnitude
113.07810640335083,-150.0,-84.0,171.91858538273283
113.10660290718079,-149.0,-82.0,170.07351351694948
113.13589119911194,-144.0,-82.0,165.71059109181888
113.16818571090698,-136.0,-78.0,156.7801007781281
113.19900679588318,-122.0,-76.0,143.7358688706476
113.26178050041199,-110.0,-72.0,131.46862743635836
113.27244305610657,-101.0,-68.0,121.75795661885921
113.30265402793884,-96.0,-66.0,116.49892703368559
113.33583235740662,-93.0,-63.0,112.32987136109433
113.3600685596466,-91.0,-61.0,109.55363982999378
113.4069881439209,-90.0,-58.0,107.07007051459338
113.4387617111206,-89.0,-57.0,105.6882207249228
113.49660730361938,-89.0,-55.0,104.62313319720452
113.54352712631226,-89.0,-54.0,104.10091258005379
113.55561685562134,-90.0,-54.0,104.95713410721541
113.58514547348022,-91.0,-53.0,105.30906893520614
113.59876918792725,-92.0,-53.0,106.17438485811914
113.63097405433655,-92.0,-52.0,105.67875850898325
113.66205263137817,-92.0,-52.0,105.67875850898325
113.6939926147461,-93.0,-51.0,106.06601717798213
113.74710392951965,-92.0,-51.0,105.19030373565806
113.77942895889282,-91.0,-49.0,103.3537614216338
113.81300783157349,-89.0,-48.0,101.11874208078342
113.83911514282227,-87.0,-47.0,98.88377015466189
113.87110710144043,-84.0,-45.0,95.29428104561154
113.9031081199646,-81.0,-42.0,91.2414379544733
113.9691321849823,-76.0,-40.0,85.88364221433555
113.99577498435974,-72.0,-38.0,81.41252974819048
114.0177891254425,-67.0,-35.0,75.59100475585703
114.034255027771,-62.0,-33.0,70.2353187506115
114.06260752677917,-56.0,-30.0,63.52952069707436
114.09486222267151,-50.0,-27.0,56.824290580701486
114.12718915939331,-44.0,-25.0,50.60632371551998
114.19454073905945,-38.0,-22.0,43.9089968002003
114.23876214027405,-31.0,-19.0,36.359317925395686
114.25302624702454,-25.0,-17.0,30.23243291566195
114.27056097984314,-20.0,-14.0,24.413111231467404
114.30410695075989,-15.0,-12.0,19.209372712298546
114.33464121818542,-9.0,-10.0,13.45362404707371
114.36651682853699,-5.0,-8.0,9.433981132056603
114.41820645332336,0.0,-6.0,6.0
114.44789004325867,4.0,-5.0,6.4031242374328485
114.47531533241272,8.0,-3.0,8.54400374531753
114.49628400802612,11.0,-2.0,11.180339887498949
114.52699995040894,13.0,-2.0,13.152946437965905
114.5592610836029,16.0,-2.0,16.1245154965971
114.64240074157715,17.0,-1.0,17.029386365926403
114.67748641967773,18.0,-1.0,18.027756377319946
114.70743441581726,19.0,-2.0,19.1049731745428
114.71564674377441,20.0,-2.0,20.09975124224178
114.7356448173523,19.0,-3.0,19.235384061671343
114.76811003684998,19.0,-4.0,19.4164878389476
114.79945492744446,18.0,-5.0,18.681541692269406
114.87118768692017,17.0,-7.0,18.384776310850235
114.87950563430786,16.0,-8.0,17.88854381999832
114.91706871986389,14.0,-9.0,16.64331697709324
114.94953846931458,12.0,-10.0,15.620499351813308
114.95884227752686,10.0,-10.0,14.142135623730951
115.00753569602966,9.0,-11.0,14.212670403551895
115.03940343856812,7.0,-11.0,13.038404810405298
115.07064437866211,5.0,-11.0,12.083045973594572
115.12031769752502,4.0,-11.0,11.704699910719626
115.15476846694946,3.0,-10.0,10.44030650891055
115.18870973587036,2.0,-10.0,10.198039027185569
115.19903755187988,2.0,-9.0,9.219544457292887
115.2311315536499,2.0,-8.0,8.246211251235321
115.26228094100952,2.0,-6.0,6.324555320336759
115.29528951644897,3.0,-4.0,5.0
115.3523964881897,4.0,-3.0,5.0
115.37865686416626,6.0,-1.0,6.082762530298219
115.41488862037659,8.0,0.0,8.0
115.4394257068634,10.0,1.0,10.04987562112089
115.47098112106323,12.0,3.0,12.36931687685298
115.50215816497803,14.0,4.0,14.560219778561036
115.57191705703735,16.0,5.0,16.76305461424021
115.60060119628906,18.0,6.0,18.973665961010276
115.62826299667358,20.0,6.0,20.8806130178211
115.63808512687683,21.0,6.0,21.840329667841555
115.6638114452362,22.0,5.0,22.561028345356956
115.69595503807068,23.0,5.0,23.53720459187964
115.72672080993652,24.0,4.0,24.331050121192877
115.797532081604,24.0,4.0,24.331050121192877
115.82911944389343,24.0,2.0,24.08318915758459
115.85600781440735,24.0,1.0,24.020824298928627
115.87103247642517,23.0,0.0,23.0
115.90276074409485,22.0,-1.0,22.02271554554524
115.93576502799988,20.0,-2.0,20.09975124224178
115.96691656112671,19.0,-3.0,19.235384061671343
116.03078389167786,17.0,-4.0,17.46424919657298
116.05700826644897,15.0,-4.0,15.524174696260024
116.08719635009766,14.0,-5.0,14.866068747318506
116.10472679138184,12.0,-5.0,13.0
116.1276421546936,11.0,-5.0,12.083045973594572
116.15921759605408,9.0,-5.0,10.295630140987
116.20852875709534,8.0,-4.0,8.94427190999916
116.26524353027344,7.0,-4.0,8.06225774829855
116.29217982292175,6.0,-3.0,6.708203932499369
116.32225894927979,6.0,-2.0,6.324555320336759
116.3360903263092,6.0,-1.0,6.082762530298219
116.36839294433594,7.0,0.0,7.0
