Kp, 0.1950
Ki, 0
Kd, 0.1376
Deadzone, 0

time,x,y,xy_magnitude
2.135577208995819092e+02,-3.000000000000000000e+00,6.000000000000000000e+00,6.708203932499369415e+00
2.135925979614257812e+02,-3.000000000000000000e+00,6.000000000000000000e+00,6.708203932499369415e+00
2.136243770122528076e+02,-4.000000000000000000e+00,7.000000000000000000e+00,8.062257748298549132e+00
2.136796753406524658e+02,-5.000000000000000000e+00,7.000000000000000000e+00,8.602325267042626677e+00
2.137226955890655518e+02,-6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
2.137469775676727295e+02,-6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
2.137675471305847168e+02,-7.000000000000000000e+00,7.000000000000000000e+00,9.899494936611665352e+00
2.137992184162139893e+02,-7.000000000000000000e+00,7.000000000000000000e+00,9.899494936611665352e+00
2.138318133354187012e+02,-8.000000000000000000e+00,8.000000000000000000e+00,1.131370849898476116e+01
2.138645696640014648e+02,-8.000000000000000000e+00,8.000000000000000000e+00,1.131370849898476116e+01
2.139223139286041260e+02,-8.000000000000000000e+00,8.000000000000000000e+00,1.131370849898476116e+01
2.139572546482086182e+02,-8.000000000000000000e+00,8.000000000000000000e+00,1.131370849898476116e+01
2.139930992126464844e+02,-8.000000000000000000e+00,8.000000000000000000e+00,1.131370849898476116e+01
2.140017998218536377e+02,-8.000000000000000000e+00,8.000000000000000000e+00,1.131370849898476116e+01
2.140240089893341064e+02,-7.000000000000000000e+00,8.000000000000000000e+00,1.063014581273464998e+01
2.140559554100036621e+02,-6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
2.141035287380218506e+02,-6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
2.141609053611755371e+02,-5.000000000000000000e+00,7.000000000000000000e+00,8.602325267042626677e+00
2.141922173500061035e+02,-4.000000000000000000e+00,7.000000000000000000e+00,8.062257748298549132e+00
2.142270176410675049e+02,-4.000000000000000000e+00,7.000000000000000000e+00,8.062257748298549132e+00
2.142358760833740234e+02,-2.000000000000000000e+00,7.000000000000000000e+00,7.280109889280518054e+00
2.142639384269714355e+02,-1.000000000000000000e+00,7.000000000000000000e+00,7.071067811865475505e+00
2.142956202030181885e+02,0.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00
2.143278985023498535e+02,1.000000000000000000e+00,7.000000000000000000e+00,7.071067811865475505e+00
2.143952479362487793e+02,1.000000000000000000e+00,7.000000000000000000e+00,7.071067811865475505e+00
2.144274580478668213e+02,2.000000000000000000e+00,7.000000000000000000e+00,7.280109889280518054e+00
2.144603478908538818e+02,3.000000000000000000e+00,7.000000000000000000e+00,7.615773105863908654e+00
2.144697194099426270e+02,3.000000000000000000e+00,7.000000000000000000e+00,7.615773105863908654e+00
2.145034284591674805e+02,4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.145353562831878662e+02,4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.145694499015808105e+02,5.000000000000000000e+00,6.000000000000000000e+00,7.810249675906653977e+00
2.146309597492218018e+02,5.000000000000000000e+00,6.000000000000000000e+00,7.810249675906653977e+00
2.146552736759185791e+02,5.000000000000000000e+00,6.000000000000000000e+00,7.810249675906653977e+00
2.146846337318420410e+02,5.000000000000000000e+00,6.000000000000000000e+00,7.810249675906653977e+00
2.147038431167602539e+02,5.000000000000000000e+00,6.000000000000000000e+00,7.810249675906653977e+00
2.147285568714141846e+02,4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.147600216865539551e+02,4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.147919270992279053e+02,3.000000000000000000e+00,5.000000000000000000e+00,5.830951894845300743e+00
2.148549232482910156e+02,3.000000000000000000e+00,5.000000000000000000e+00,5.830951894845300743e+00
2.148668332099914551e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.385164807134503739e+00
2.149217400550842285e+02,1.000000000000000000e+00,5.000000000000000000e+00,5.099019513592784492e+00
2.149357769489288330e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
2.149686169624328613e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
2.150000391006469727e+02,-2.000000000000000000e+00,5.000000000000000000e+00,5.385164807134503739e+00
2.150312902927398682e+02,-2.000000000000000000e+00,5.000000000000000000e+00,5.385164807134503739e+00
2.150934174060821533e+02,-3.000000000000000000e+00,6.000000000000000000e+00,6.708203932499369415e+00
2.151312158107757568e+02,-4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.151588790416717529e+02,-4.000000000000000000e+00,7.000000000000000000e+00,8.062257748298549132e+00
2.151666035652160645e+02,-4.000000000000000000e+00,7.000000000000000000e+00,8.062257748298549132e+00
2.151918497085571289e+02,-5.000000000000000000e+00,8.000000000000000000e+00,9.433981132056603158e+00
2.152238743305206299e+02,-5.000000000000000000e+00,9.000000000000000000e+00,1.029563014098700080e+01
2.152555284500122070e+02,-6.000000000000000000e+00,9.000000000000000000e+00,1.081665382639196871e+01
2.153288421630859375e+02,-6.000000000000000000e+00,1.000000000000000000e+01,1.166190378969060149e+01
2.153622541427612305e+02,-5.000000000000000000e+00,1.000000000000000000e+01,1.118033988749894903e+01
2.153736767768859863e+02,-5.000000000000000000e+00,1.000000000000000000e+01,1.118033988749894903e+01
2.154076962471008301e+02,-5.000000000000000000e+00,1.000000000000000000e+01,1.118033988749894903e+01
2.154315443038940430e+02,-5.000000000000000000e+00,1.000000000000000000e+01,1.118033988749894903e+01
2.154640476703643799e+02,-5.000000000000000000e+00,1.000000000000000000e+01,1.118033988749894903e+01
2.154960787296295166e+02,-5.000000000000000000e+00,9.000000000000000000e+00,1.029563014098700080e+01
2.155279872417449951e+02,-4.000000000000000000e+00,1.000000000000000000e+01,1.077032961426900748e+01
2.155766959190368652e+02,-3.000000000000000000e+00,1.000000000000000000e+01,1.044030650891055068e+01
2.156140820980072021e+02,-2.000000000000000000e+00,9.000000000000000000e+00,9.219544457292887074e+00
2.156407806873321533e+02,-1.000000000000000000e+00,9.000000000000000000e+00,9.055385138137417300e+00
2.156580822467803955e+02,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00
2.157046251296997070e+02,1.000000000000000000e+00,8.000000000000000000e+00,8.062257748298549132e+00
2.157359344959259033e+02,1.000000000000000000e+00,7.000000000000000000e+00,7.071067811865475505e+00
2.157680399417877197e+02,2.000000000000000000e+00,7.000000000000000000e+00,7.280109889280518054e+00
2.158144755363464355e+02,3.000000000000000000e+00,7.000000000000000000e+00,7.615773105863908654e+00
2.158766307830810547e+02,4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.158944199085235596e+02,4.000000000000000000e+00,6.000000000000000000e+00,7.211102550927978250e+00
2.159007279872894287e+02,4.000000000000000000e+00,5.000000000000000000e+00,6.403124237432848531e+00
2.159294309616088867e+02,5.000000000000000000e+00,5.000000000000000000e+00,7.071067811865475505e+00
2.159600079059600830e+02,5.000000000000000000e+00,4.000000000000000000e+00,6.403124237432848531e+00
2.159910950660705566e+02,5.000000000000000000e+00,4.000000000000000000e+00,6.403124237432848531e+00
2.160625040531158447e+02,5.000000000000000000e+00,3.000000000000000000e+00,5.830951894845300743e+00
2.160859878063201904e+02,5.000000000000000000e+00,3.000000000000000000e+00,5.830951894845300743e+00
2.161229348182678223e+02,5.000000000000000000e+00,2.000000000000000000e+00,5.385164807134503739e+00
2.161362130641937256e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.472135954999579610e+00
2.161677849292755127e+02,3.000000000000000000e+00,2.000000000000000000e+00,3.605551275463989125e+00
2.161993689537048340e+02,3.000000000000000000e+00,1.000000000000000000e+00,3.162277660168379523e+00
2.162320551872253418e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.236067977499789805e+00
2.162855343818664551e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.414213562373095145e+00
2.163168504238128662e+02,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
2.163471302986145020e+02,-1.000000000000000000e+00,1.000000000000000000e+00,1.414213562373095145e+00
2.163614065647125244e+02,-2.000000000000000000e+00,1.000000000000000000e+00,2.236067977499789805e+00
2.163926930427551270e+02,-3.000000000000000000e+00,1.000000000000000000e+00,3.162277660168379523e+00
2.164231193065643311e+02,-4.000000000000000000e+00,1.000000000000000000e+00,4.123105625617660586e+00
2.164558088779449463e+02,-5.000000000000000000e+00,1.000000000000000000e+00,5.099019513592784492e+00
2.165174510478973389e+02,-5.000000000000000000e+00,2.000000000000000000e+00,5.385164807134503739e+00
2.165488190650939941e+02,-6.000000000000000000e+00,2.000000000000000000e+00,6.324555320336759046e+00
2.165860691070556641e+02,-6.000000000000000000e+00,2.000000000000000000e+00,6.324555320336759046e+00
2.165993647575378418e+02,-6.000000000000000000e+00,2.000000000000000000e+00,6.324555320336759046e+00
2.166317384243011475e+02,-6.000000000000000000e+00,3.000000000000000000e+00,6.708203932499369415e+00
2.166641490459442139e+02,-6.000000000000000000e+00,3.000000000000000000e+00,6.708203932499369415e+00
2.166960015296936035e+02,-6.000000000000000000e+00,3.000000000000000000e+00,6.708203932499369415e+00
2.167584278583526611e+02,-5.000000000000000000e+00,4.000000000000000000e+00,6.403124237432848531e+00
2.167902736663818359e+02,-4.000000000000000000e+00,5.000000000000000000e+00,6.403124237432848531e+00
2.168225500583648682e+02,-3.000000000000000000e+00,5.000000000000000000e+00,5.830951894845300743e+00
2.168335454463958740e+02,-2.000000000000000000e+00,5.000000000000000000e+00,5.385164807134503739e+00
2.168564569950103760e+02,-2.000000000000000000e+00,6.000000000000000000e+00,6.324555320336759046e+00
2.169035210609436035e+02,-1.000000000000000000e+00,6.000000000000000000e+00,6.082762530298219339e+00
2.169358069896697998e+02,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00
2.169955813884735107e+02,1.000000000000000000e+00,7.000000000000000000e+00,7.071067811865475505e+00
2.170285198688507080e+02,2.000000000000000000e+00,7.000000000000000000e+00,7.280109889280518054e+00
2.170616445541381836e+02,3.000000000000000000e+00,7.000000000000000000e+00,7.615773105863908654e+00
2.170739958286285400e+02,4.000000000000000000e+00,8.000000000000000000e+00,8.944271909999159220e+00
2.170966384410858154e+02,5.000000000000000000e+00,8.000000000000000000e+00,9.433981132056603158e+00
2.171277031898498535e+02,5.000000000000000000e+00,8.000000000000000000e+00,9.433981132056603158e+00
2.171598548889160156e+02,6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
2.172214844226837158e+02,6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
2.172383768558502197e+02,7.000000000000000000e+00,8.000000000000000000e+00,1.063014581273464998e+01
2.172723388671875000e+02,7.000000000000000000e+00,8.000000000000000000e+00,1.063014581273464998e+01
