time,x,y,xy_magnitude
5.666410923004150391e-01,-1.500000000000000000e+02,-2.700000000000000000e+01,1.524106295505664548e+02
6.712105274200439453e-01,-1.480000000000000000e+02,-4.200000000000000000e+01,1.538440769090574918e+02
7.429471015930175781e-01,-1.480000000000000000e+02,-3.800000000000000000e+01,1.528005235593124667e+02
8.630275726318359375e-01,-1.490000000000000000e+02,-4.100000000000000000e+01,1.545380212116099301e+02
8.976635932922363281e-01,-1.470000000000000000e+02,-3.900000000000000000e+01,1.520855022676389012e+02
9.482169151306152344e-01,-1.470000000000000000e+02,-4.100000000000000000e+01,1.526106156202772013e+02
9.857716560363769531e-01,-1.470000000000000000e+02,-4.200000000000000000e+01,1.528823076748908818e+02
1.106363534927368164e+00,-1.460000000000000000e+02,-3.700000000000000000e+01,1.506154042586614139e+02
1.154257535934448242e+00,-1.490000000000000000e+02,-4.400000000000000000e+01,1.553608702344319283e+02
1.297146081924438477e+00,-1.490000000000000000e+02,-4.600000000000000000e+01,1.559390906732497228e+02
1.329283475875854492e+00,-1.500000000000000000e+02,-4.000000000000000000e+01,1.552417469626002458e+02
1.378400564193725586e+00,-1.480000000000000000e+02,-4.800000000000000000e+01,1.555892027102137831e+02
1.448240280151367188e+00,-1.480000000000000000e+02,-4.100000000000000000e+01,1.535740863557390696e+02
1.504822731018066406e+00,-1.490000000000000000e+02,-4.500000000000000000e+01,1.556470365924131443e+02
1.536072731018066406e+00,-1.510000000000000000e+02,-4.300000000000000000e+01,1.570031846810758225e+02
1.665307998657226562e+00,-1.490000000000000000e+02,-4.100000000000000000e+01,1.545380212116099301e+02
1.761291027069091797e+00,-1.470000000000000000e+02,-3.300000000000000000e+01,1.506585543538766387e+02
1.809330463409423828e+00,-1.460000000000000000e+02,-3.900000000000000000e+01,1.511191582824626494e+02
1.843545913696289062e+00,-1.470000000000000000e+02,-4.200000000000000000e+01,1.528823076748908818e+02
1.876788854598999023e+00,-1.480000000000000000e+02,-4.000000000000000000e+01,1.533101431738944029e+02
1.904270410537719727e+00,-1.490000000000000000e+02,-4.800000000000000000e+01,1.565407295242998487e+02
1.935883998870849609e+00,-1.460000000000000000e+02,-3.800000000000000000e+01,1.508641773251688676e+02
1.967246294021606445e+00,-1.470000000000000000e+02,-4.300000000000000000e+01,1.531600470096558695e+02
2.056030750274658203e+00,-1.480000000000000000e+02,-4.200000000000000000e+01,1.538440769090574918e+02
2.192890167236328125e+00,-1.470000000000000000e+02,-4.200000000000000000e+01,1.528823076748908818e+02
2.293144464492797852e+00,-1.490000000000000000e+02,-4.100000000000000000e+01,1.545380212116099301e+02
2.368237018585205078e+00,-1.490000000000000000e+02,-4.000000000000000000e+01,1.542757271899892828e+02
2.401369810104370117e+00,-1.470000000000000000e+02,-3.900000000000000000e+01,1.520855022676389012e+02
3.158094882965087891e+00,-1.490000000000000000e+02,-3.900000000000000000e+01,1.540194792875238932e+02
3.264319181442260742e+00,-1.520000000000000000e+02,-5.000000000000000000e+01,1.600124995117568858e+02
3.296860218048095703e+00,-1.460000000000000000e+02,-3.700000000000000000e+01,1.506154042586614139e+02
3.350502490997314453e+00,-1.490000000000000000e+02,-4.200000000000000000e+01,1.548063306199071292e+02
3.413812160491943359e+00,-1.520000000000000000e+02,-4.900000000000000000e+01,1.597028490666337461e+02
3.423983573913574219e+00,-1.450000000000000000e+02,-3.900000000000000000e+01,1.501532550429726882e+02
3.504559993743896484e+00,-1.450000000000000000e+02,-3.900000000000000000e+01,1.501532550429726882e+02
3.625920534133911133e+00,-1.480000000000000000e+02,-3.600000000000000000e+01,1.523154621172781731e+02
3.853998661041259766e+00,-1.450000000000000000e+02,-3.600000000000000000e+01,1.494021418855834327e+02
3.872910737991333008e+00,-1.450000000000000000e+02,-4.100000000000000000e+01,1.506851021169644298e+02
3.904794692993164062e+00,-1.500000000000000000e+02,-3.200000000000000000e+01,1.533753565603027482e+02
4.059932231903076172e+00,-1.480000000000000000e+02,-4.200000000000000000e+01,1.538440769090574918e+02
4.128511190414428711e+00,-1.490000000000000000e+02,-4.200000000000000000e+01,1.548063306199071292e+02
4.223821401596069336e+00,-1.470000000000000000e+02,-4.200000000000000000e+01,1.528823076748908818e+02
4.513151884078979492e+00,-1.490000000000000000e+02,-4.100000000000000000e+01,1.545380212116099301e+02
4.560365915298461914e+00,-1.460000000000000000e+02,-4.100000000000000000e+01,1.516476178513859736e+02
4.768806457519531250e+00,-1.470000000000000000e+02,-3.800000000000000000e+01,1.518321441592655674e+02
4.799216270446777344e+00,-1.500000000000000000e+02,-5.200000000000000000e+01,1.587576769797290694e+02
4.832404375076293945e+00,-1.510000000000000000e+02,-5.000000000000000000e+01,1.590628806478746071e+02
5.151913881301879883e+00,-1.520000000000000000e+02,-3.700000000000000000e+01,1.564384863133110173e+02
